# Delayed Equilibrium Model (DEM) Results
# Fluid: REFPROP::WATER
# Mass flow rate: 15.35 kg/s
# Nucleation pressure: 11117059.820204036 Pa
# Frozen entropy: 3438.202960773038 J/kg.K
# Number of axial points: 500
# Axial range: 0.000000 to 0.463107 m
# Max Mach number: 0.9464
# Min pressure: 7558935.76 Pa
#
z,pressure,velocity,density,entropy,enthalpy,gamma,quality,power,volume_fraction,mass_residual,mach_number,speed_of_sound,T_sat,T_meta
0.0,11985879.418387258,6.4864446773269036,671.2158057100036,3438.1807191100525,1456601.743227541,0.0,0.0,22359159.67622069,0.0,1.1732623761417926e-09,0.008034987045298436,807.2750635139305,,592.5416481830867
0.0009280697314629258,11985892.987980323,6.482736008691457,671.2158248082451,3438.1807255783897,1456601.7672767378,0.0,0.0,22359159.67622069,0.0,1.1733156668469746e-09,0.008030391934488526,807.2751693288751,,592.5416568069026
0.0018561394629258517,11985907.062947227,6.478909842553395,671.2158446844988,3438.18073203722,1456601.7920732254,0.0,0.0,22359159.676217347,0.0,0.00028839750943276954,0.008025651235643952,807.2752792669227,,592.541665728784
0.0027842091943887774,11985902.145104649,6.479450876221071,671.2158354194792,3438.1807384866033,1456601.7885679884,0.0,0.0,22359159.676220693,0.0,-0.009764780143948215,0.008026321877805252,807.2752345178608,,592.541663415049
0.0037122789258517033,11985878.374339445,6.484324863072352,671.2157972251158,3438.180744936741,1456601.7569754694,0.0,0.0,22359159.676222492,0.0,-0.010545850190291972,0.00803236142849925,807.2750362135871,,592.5416499493846
0.004640348657314629,11985853.651030147,6.489412729698317,671.2157575657011,3438.180751399599,1456601.7239713606,0.0,0.0,22359159.67622578,0.0,-0.010832138481616127,0.008038665999979403,807.2748301415862,,592.5416359214357
0.005568418388777555,11985789.906463427,6.503440775070587,671.2156580263828,3438.180757873896,1456601.632838832,0.0,0.0,22359159.676220268,0.0,-0.0322443394618972,0.008056048266150579,807.2743062372597,,592.5415988124117
0.006496488120240481,11985692.443187535,6.525139498125771,671.2155067371993,3438.18076438342,1456601.4914918656,0.0,0.0,22359159.67629412,0.0,-0.032374101094305274,0.008082935258156728,807.2735076705038,,592.5415417610494
0.007424557851703407,11985593.021734785,6.547206343947148,671.2153524280175,3438.180770948943,1456601.3472606826,0.0,0.0,22359159.676317714,0.0,-0.032853334203874596,0.008110278471963219,807.2726931116455,,592.5414835564511
0.008352627583166333,11985426.436601637,6.584407498531807,671.2150950419436,3438.180777572248,1456601.1030008923,0.0,0.0,22359159.676253367,0.0,-0.06124070855257635,0.008156374742804232,807.2713314626384,,592.5413856277631
0.009280697314629258,11985216.787671415,6.631074313164887,671.2147715487419,3438.1807842913313,1456600.7946397609,0.0,0.0,22359159.676270075,0.0,-0.061670474660441954,0.008214200258795675,807.2696189826155,,592.5412622340558
0.010208767046092184,11984995.229126992,6.680060931225831,671.2144297460529,3438.1807911338806,1456600.4686082546,0.0,0.0,22359159.676304504,0.0,-0.0659221179846714,0.008274900663019419,807.2678093984938,,592.5411318064084
0.01113683677755511,11984682.195663534,6.748902561634269,671.2139475386417,3438.1807981072907,1456600.0063713244,0.0,0.0,22359159.676288243,0.0,-0.0931052045143339,0.00836020443453492,807.2652546336581,,592.5409472796465
0.012064906509018036,11984334.429152163,6.824619882237682,671.2134119802981,3438.180805266804,1456599.492497693,0.0,0.0,22359159.67631501,0.0,-0.09315858718161074,0.008454028999957876,807.2624168040692,,592.5407422232092
0.012992976240480961,11983949.232063117,6.907565804514367,671.2128189241726,3438.1808126360397,1456598.9229823204,0.0,0.0,22359159.67630013,0.0,-0.10554143211584588,0.008556811953409123,807.2592739124435,,592.5405150432464
0.013921045971943888,11983474.261434065,7.008617762273153,671.2120880407,3438.180820237232,1456598.219855506,0.0,0.0,22359159.676330563,0.0,-0.12052586945067922,0.00868203268250294,807.2553995791503,,592.5402347780863
0.014849115703406813,11982970.950130377,7.114146290610689,671.2113135823067,3438.180828129596,1456597.4746772735,0.0,0.0,22359159.67631553,0.0,-0.1208203504729024,0.00881280258364755,807.2512941355598,,592.5399377728144
0.01577718543486974,11982392.183401156,7.233663062196509,671.2104232413803,3438.180836332969,1456596.6172655222,0.0,0.0,22359159.676164724,0.0,-0.1429297303086532,0.00896090896779824,807.2465737785385,,592.5395961578213
0.016705255166332665,11981742.378901143,7.365593592309584,671.2094237799422,3438.1808448969487,1456595.6542308326,0.0,0.0,22359159.676305104,0.0,-0.14295559102831845,0.009124401620225066,807.2412744286788,,592.5392125498448
0.01763332489779559,11981043.255826386,7.504965614126635,671.2083485106834,3438.1808538726796,1456594.6179613776,0.0,0.0,22359159.676312715,0.0,-0.14822612632494092,0.009297119534484373,807.2355729416646,,592.538799800787
0.018561394629258515,11980244.740131455,7.6611167972007745,671.2071205759346,3438.180863293446,1456593.4338735836,0.0,0.0,22359159.67651321,0.0,-0.16118396984993488,0.009490635513380898,807.2290613625742,,592.5383282901967
0.019489464360721444,11979387.993383233,7.825202546389344,671.2058031181751,3438.1808732321524,1456592.1633346165,0.0,0.0,22359159.67656216,0.0,-0.16076075974817705,0.009693989782615892,807.2220749006957,,592.5378223732147
0.02041753409218437,11978435.525308527,8.003711588585654,671.2043385840689,3438.1808837358853,1456590.7505166507,0.0,0.0,22359159.676319394,0.0,-0.17363834714182858,0.009915225124879691,807.2143080748021,,592.5372598739114
0.021345603823647294,11977382.649846023,8.19655274246783,671.2027197545985,3438.1808948748167,1456589.1884787437,0.0,0.0,22359159.676333617,0.0,-0.1735912835845852,0.010154230220377723,807.205722598136,,592.5366380240573
0.02227367355511022,11976234.843323048,8.401760165372588,671.2009550039246,3438.1809067272334,1456587.4854251978,0.0,0.0,22359159.676256288,0.0,-0.17879729882398188,0.010408570393656533,807.1963629599902,,592.5359600679228
0.023201743286573144,11974948.303415112,8.626013717461122,671.1989770735943,3438.180919369506,1456585.5761403332,0.0,0.0,22359159.676018734,0.0,-0.1853418677536176,0.010686527124572534,807.1858721648233,,592.5352000951943
0.024129813018036073,11973547.926348802,8.863683028708108,671.1968241297333,3438.180932911119,1456583.4977794834,0.0,0.0,22359159.676344767,0.0,-0.18596134924444918,0.010981124337253977,807.1744528597723,,592.5343728407261
0.025057882749498998,11971977.893151969,9.122826073136455,671.1944104541423,3438.1809474536717,1456581.1672375645,0.0,0.0,22359159.676305544,0.0,-0.194122549469828,0.01130235321817961,807.1616500590843,,592.5334452843956
0.025985952480961923,11970246.71807638,9.400314041562329,671.1917490545019,3438.18096313398,1456578.5972782061,0.0,0.0,22359159.67653428,0.0,-0.1940448211298147,0.011646339310722934,807.1475328653132,,592.5324224693267
0.026914022212424848,11968312.778989505,9.700951884580125,671.1887759759098,3438.180980096743,1456575.725971729,0.0,0.0,22359159.67615385,0.0,-0.2019882754386142,0.012019043659806047,807.1317618241076,,592.5312797743894
0.027842091943887776,11966157.745146075,10.025380864914807,671.1854629957674,3438.1809985182194,1456572.526107558,0.0,0.0,22359159.676657923,0.0,-0.2016752893794571,0.012421267057723787,807.1141871698852,,592.5300063590925
0.0287701616753507,11963750.361932455,10.375835619329514,671.1817620346916,3438.1810186027406,1456568.9512353346,0.0,0.0,22359159.676342223,0.0,-0.20669733754768949,0.012855786935281745,807.0945537261364,,592.5285837355581
